sentence	sentence_id	locale	reason
Vă mulţumesc foarte mult, dle comisar Šemeta.	4cb9b467c9dff288fb9ead4b2a2dee8426968c869d4dc4eb9a9da00b4629d5ea	ro	difficult-pronounce
Am votat gândindu-mp la acest lucru.	47d396bb2162d8635b105ec6340a130f28097dc19a871d6d669307074fe18917	ro	grammar-or-spelling
Vă mulţumesc foarte mult, dle comisar Šemeta.	4cb9b467c9dff288fb9ead4b2a2dee8426968c869d4dc4eb9a9da00b4629d5ea	ro	I don't know how to pronounce the name
Chiar credeţi că normal să provocaţi dispute?	50b68c403cc4afc9b73d1a28e6be53a0f487de5f544fa7c26e64e8d1e427488c	ro	grammar-or-spelling
Combaterea acestor cauze trebuie ă aibă prioritate.	51853e82158a2ac012562d4690cbe4966ece62ea3fd8827ad352c82f808ecbe7	ro	grammar-or-spelling
Aceasta nu este un o evoluţie satisfăcătoare.	461b664626aa7b291d229664f1f7da0b914a7ff999dfa19e5f9c18c88f0fa73d	ro	grammar-or-spelling
Chiar credeţi că normal să provocaţi dispute?	50b68c403cc4afc9b73d1a28e6be53a0f487de5f544fa7c26e64e8d1e427488c	ro	grammar-or-spelling
Să-i lăsăm pe chirurgii noşti să lucreze.	4dc77250402f119a0d63b65b9278d41119d0f558d5492abb7fc01ca4d6755fac	ro	„no?ti”
Să-i lăsăm pe chirurgii noşti să lucreze.	4dc77250402f119a0d63b65b9278d41119d0f558d5492abb7fc01ca4d6755fac	ro	„no?ti”
Aceasta nu este un o evoluţie satisfăcătoare.	461b664626aa7b291d229664f1f7da0b914a7ff999dfa19e5f9c18c88f0fa73d	ro	"un o"
Să-i lăsăm pe chirurgii noşti să lucreze.	4dc77250402f119a0d63b65b9278d41119d0f558d5492abb7fc01ca4d6755fac	ro	"nosti"
Dar cel mai experimentat din acest punct de vedere este maftei.	4cd337483756810a302ab16fb3d24cb5724761ec9c6c7a1b3f061a4fbc9818ea	ro	grammar-or-spelling
Combaterea acestor cauze trebuie ă aibă prioritate.	51853e82158a2ac012562d4690cbe4966ece62ea3fd8827ad352c82f808ecbe7	ro	grammar-or-spelling
Am votat gândindu-mp la acest lucru.	47d396bb2162d8635b105ec6340a130f28097dc19a871d6d669307074fe18917	ro	grammar-or-spelling
Vă mulţumesc foarte mult, dle comisar Šemeta.	4cb9b467c9dff288fb9ead4b2a2dee8426968c869d4dc4eb9a9da00b4629d5ea	ro	No idea how to pronounce the name
Chiar credeţi că normal să provocaţi dispute?	50b68c403cc4afc9b73d1a28e6be53a0f487de5f544fa7c26e64e8d1e427488c	ro	grammar-or-spelling
Am votat gândindu-mp la acest lucru.	47d396bb2162d8635b105ec6340a130f28097dc19a871d6d669307074fe18917	ro	grammar-or-spelling
Am votat gândindu-mp la acest lucru.	47d396bb2162d8635b105ec6340a130f28097dc19a871d6d669307074fe18917	ro	grammar-or-spelling
Ce i-a placut sau nu la echipa.	55e497be0be107ba5174c14d254e485c70d6ce465686b82a488431d8397f7f5c	ro	`echipa`, trebuia `echip?`
Combaterea acestor cauze trebuie ă aibă prioritate.	51853e82158a2ac012562d4690cbe4966ece62ea3fd8827ad352c82f808ecbe7	ro	grammar-or-spelling
Am votat gândindu-mp la acest lucru.	47d396bb2162d8635b105ec6340a130f28097dc19a871d6d669307074fe18917	ro	grammar-or-spelling
Chiar credeţi că normal să provocaţi dispute?	50b68c403cc4afc9b73d1a28e6be53a0f487de5f544fa7c26e64e8d1e427488c	ro	grammar-or-spelling
Vă mulţumesc foarte mult, dle comisar Šemeta.	4cb9b467c9dff288fb9ead4b2a2dee8426968c869d4dc4eb9a9da00b4629d5ea	ro	difficult-pronounce
Apoi mai este problema persoanelor care returnate.	668b8fc5aaed90d7e23d31831632bc0cee626e13dd376c17fca96156178e2030	ro	grammar-or-spelling
După ceştii totul, vine îndoiala.	63bdb6fe96b2de79fdb9a53233bab9ffe3d6ab102dac26b40909816fd12abb89	ro	grammar-or-spelling
După ceştii totul, vine îndoiala.	63bdb6fe96b2de79fdb9a53233bab9ffe3d6ab102dac26b40909816fd12abb89	ro	grammar-or-spelling
Să nu mai ai nimic în comun cu oamenii decât faptul de afi om.	5fb48534011558881d792ba0c26fdb2ae0cfce4fb2e169fd492d5a76a3d6881b	ro	grammar-or-spelling
We now continue with the vote.	609803d8a2936a4676a71c3f7ae31490a34695a1373024f74330382c18280f29	ro	different-language
We now continue with the vote.	609803d8a2936a4676a71c3f7ae31490a34695a1373024f74330382c18280f29	ro	different-language
Am votat în favoarea aceste rezoluții.	690ec34c3311aa01a0b6c9289ca1bb6e278e41ef814e4b4403555dbee9016c32	ro	grammar-or-spelling
Vă mulţumesc foarte mult, dle comisar Šemeta.	4cb9b467c9dff288fb9ead4b2a2dee8426968c869d4dc4eb9a9da00b4629d5ea	ro	difficult-pronounce
Îţi vine mai lesne să tearăţi înţelept pentru alţii decât pentru tine însuţi.	6a9b59e177bdb572cbf39c5e16969fa7c00f266339386ef48490ec2eafdc4643	ro	grammar-or-spelling
Prin urmare, să rog să participaţi la votare.	525f42627566e16c0864312daf73d17b978a863534493ce7bb017b9482b2c1f2	ro	grammar-or-spelling
Dreptatea eca sănătatea lumii.	62f5c5ffe00158534a6561aad0c02504991b2ef1825b160ce0376e1c2f4dda32	ro	grammar-or-spelling
Îţi vine mai lesne să tearăţi înţelept pentru alţii decât pentru tine însuţi.	6a9b59e177bdb572cbf39c5e16969fa7c00f266339386ef48490ec2eafdc4643	ro	grammar-or-spelling
Să nu mai ai nimic în comun cu oamenii decât faptul de afi om.	5fb48534011558881d792ba0c26fdb2ae0cfce4fb2e169fd492d5a76a3d6881b	ro	grammar-or-spelling
Îţi vine mai lesne să tearăţi înţelept pentru alţii decât pentru tine însuţi.	6a9b59e177bdb572cbf39c5e16969fa7c00f266339386ef48490ec2eafdc4643	ro	grammar-or-spelling
We now continue with the vote.	609803d8a2936a4676a71c3f7ae31490a34695a1373024f74330382c18280f29	ro	different-language
Míle buíochas do mhuintir na hÉireann.	6ad51bdf9437629adb6865ee6ae3f3f9d43c092d3c1475ae505ea8f35992c0d5	ro	different-language
Poate ne puteți explica, dle Šefčovič.	765df262bedbde11e4e5f59c69ff849ac863222ae8e3028ae25e81add0be99d4	ro	No idea how to pronounce the personal name
Cele două au urcat în premieră pe un podium la ce me.	780d917d363fe4a857d8252e893a0b47281901ad06a5e8b50802ad66da4bb343	ro	grammar-or-spelling
Vrei să trăieşti cum secuvine? Învaţămai întâi să mori.	72891ba56fea431417480e8bb97ab3744d848d96ec2a0622850b6f167e2cd73e	ro	grammar-or-spelling
Această moarte nu trebuie să fie în van.	7881a2bf7cafc5ee4b7393fa027c34bc4674cb17dd37895be2413696224a83df	ro	grammar-or-spelling
Nous en avons terminé avec les votes.	8ac8d01740ed45084898a8e896ec2f4bdc0ceba238ed5c14860f8b57d4349e65	ro	different-language
Vrei să trăieşti cum secuvine? Învaţămai întâi să mori.	72891ba56fea431417480e8bb97ab3744d848d96ec2a0622850b6f167e2cd73e	ro	grammar-or-spelling
Vrei să trăieşti cum secuvine? Învaţămai întâi să mori.	72891ba56fea431417480e8bb97ab3744d848d96ec2a0622850b6f167e2cd73e	ro	grammar-or-spelling
Vrei să trăieşti cum secuvine? Învaţămai întâi să mori.	72891ba56fea431417480e8bb97ab3744d848d96ec2a0622850b6f167e2cd73e	ro	grammar-or-spelling
Acesta este cea mai grea încercare.	a4ec5c1385d27b2bf8f80e306ea067024b1805beff47cc68b0beb0cca7b73cf3	ro	grammar-or-spelling
Îndeplinirea datoriei, în momente critice este unmerit deosebit.	a2fe7acb602312b72b8c352e37a9708f066103319b73dce0bfd38e0cd05a4507	ro	grammar-or-spelling
Acesta este cea mai grea încercare.	a4ec5c1385d27b2bf8f80e306ea067024b1805beff47cc68b0beb0cca7b73cf3	ro	grammar-or-spelling
Îndeplinirea datoriei, în momente critice este unmerit deosebit.	a2fe7acb602312b72b8c352e37a9708f066103319b73dce0bfd38e0cd05a4507	ro	grammar-or-spelling
Aceasta a permis execuția fără proces persoanelor.	9d765f976b176462e283cc31138b052b8a661a4d4c8672b6f3712c81d5902c52	ro	grammar-or-spelling
Aceasta a permis execuția fără proces persoanelor.	9d765f976b176462e283cc31138b052b8a661a4d4c8672b6f3712c81d5902c52	ro	grammar-or-spelling
Aceasta a permis execuția fără proces persoanelor.	9d765f976b176462e283cc31138b052b8a661a4d4c8672b6f3712c81d5902c52	ro	grammar-or-spelling
Please put my vote in favour.	aea4757938876472a43dd6af7beaff943a822b7d710114dea00acbe8114011ff	ro	different-language
Please put my vote in favour.	aea4757938876472a43dd6af7beaff943a822b7d710114dea00acbe8114011ff	ro	different-language
Dnă președintă, de comisar, doamnelor și domnilor.	ae8b46414399fb2b92f35c8346f3c9c0587dcf619fdef0ab5c7b387fe3a0d622	ro	grammar-or-spelling
Nu acesta este chestiunea dezbătută în prezent.	973546b14bcbbcf698334fd00e2c944f3544ca0c1a3c32376ce9c9d0f0010ec2	ro	grammar-or-spelling
Acesta este cea mai grea încercare.	a4ec5c1385d27b2bf8f80e306ea067024b1805beff47cc68b0beb0cca7b73cf3	ro	grammar-or-spelling
Please put my vote in favour.	aea4757938876472a43dd6af7beaff943a822b7d710114dea00acbe8114011ff	ro	different-language
A fi tânar cuprinde o datorie şi nu o scuză.	adbd3afd3fb5d1c75fa4b2f724422f25735725324c422598472d671e0ed05426	ro	grammar-or-spelling
Curajul esteşi el o patrie.	aec02fd4bacc2794194cde3e885245531774ec3576b6cb5eb47f3d235a02a703	ro	grammar-or-spelling
Obstacolele fac săse nască reflectarea.	b796f5d3241dae943260060e7138efe1bbe3f0dfc9ced25cab05bf16bec783f3	ro	grammar-or-spelling
Please put my vote in favour.	aea4757938876472a43dd6af7beaff943a822b7d710114dea00acbe8114011ff	ro	different-language
Ar trebuie să analizăm din nou aceste aspecte.	c214e98a11350661ccec51a460d0959483be3edeaa4f9dd99f17c0305f542f7e	ro	grammar-or-spelling
Potrivit organizatorilor, bugetul festivalului se ridică la două sute mii de euro.	b8df072db0500c1a491405d42484e7e3cce0fbc7df010b19059ae1e026094079	ro	grammar-or-spelling
Sensul existenţei şi datoria fiecărui om estecreaţia.	b7044501841ea100c87caa6aa6c8acf2f573dc245eec234de122735a8d11b56c	ro	grammar-or-spelling
Robert Klein a fost înjunghiat duminică seara în jurul orei doi.	d7bb72dc6a2dbcedf45faa30e60922e9555cd8234265fc72bb44fa246dc4bb23	ro	grammar-or-spelling
Echipamentele, nu corespundeau reglementărilor Ministerului Sănătății.	d52a1de6f05648ec519230a70bd6e676944af193f2018439bfa83b50ae32b476	ro	grammar-or-spelling
O încercare de a încuraja protecţionismului?	d84a7e6e97a758ad54fb4fdaa9c55b32e1ea9411f115f406067fddcc890783a1	ro	grammar-or-spelling
Sper că însuși dl comisarul va fi acolo.	23246b5ceaf1b3a1b741078cbbd957bb960c5e8a2159e0564a46d6ab1b8e5917	ro	grammar-or-spelling
Dorim ca acesta să deţină o autoritatea reală.	75fe2cdece39759f1957655ed5880239667d5add9c21d4d4a02bdf6f4723b762	ro	grammar-or-spelling
Secretul de a-i plictisi pealţii este de a spune totul.	7239ed1e6035d660494806790ba14f52110686d332c9d1758568e1a4d509047d	ro	grammar-or-spelling
Míle buíochas do mhuintir na hÉireann.	6ad51bdf9437629adb6865ee6ae3f3f9d43c092d3c1475ae505ea8f35992c0d5	ro	different-language
Ciò conclude il turno di votazioni.	7369f060fff4945cff7fe4028d1b3252fc7bdec2d9a647e0561a407918e2c8e6	ro	different-language
Prostia şi răutatea seînsoţesc totdeauna.	74e846747059770c1735a6db9692dd9d81dd43790b08b0f5fdac976ac8725fa6	ro	grammar-or-spelling
Îţi vine mai lesne să tearăţi înţelept pentru alţii decât pentru tine însuţi.	6a9b59e177bdb572cbf39c5e16969fa7c00f266339386ef48490ec2eafdc4643	ro	grammar-or-spelling
Míle buíochas do mhuintir na hÉireann.	6ad51bdf9437629adb6865ee6ae3f3f9d43c092d3c1475ae505ea8f35992c0d5	ro	different-language
Secretul de a-i plictisi pealţii este de a spune totul.	7239ed1e6035d660494806790ba14f52110686d332c9d1758568e1a4d509047d	ro	grammar-or-spelling
Ca să poţi înţelege pe alţii, mai întâi trebuie săte cunoşti pe tine.	73ed1539b995f70bb870a5443c33522854646bcee9fb6b2379c7f8da6772c297	ro	grammar-or-spelling
Vrei să trăieşti cum secuvine? Învaţămai întâi să mori.	72891ba56fea431417480e8bb97ab3744d848d96ec2a0622850b6f167e2cd73e	ro	grammar-or-spelling
Să nu mai ai nimic în comun cu oamenii decât faptul de afi om.	5fb48534011558881d792ba0c26fdb2ae0cfce4fb2e169fd492d5a76a3d6881b	ro	grammar-or-spelling
Se pare că un ol important în declanșarea migrenelor îl are neuro-transmițătorul serotonină.	7c82c60cbf00af35710002366225247a5a5baf7cb1d8b07895c9785913398a3c	ro	grammar-or-spelling
Nous en avons terminé avec les votes.	8ac8d01740ed45084898a8e896ec2f4bdc0ceba238ed5c14860f8b57d4349e65	ro	different-language
Doamnă președintă, aș dori să abordez trei chestiuni.	8c491a3976e4fc6abee86daf25151878b3d094bd56e93b4c80f2b7bbc436114e	ro	grammar-or-spelling
Aceste rapoarte au nevoie de o adevărat revizuire.	788125f7f84d364aee830acc1c282429009fc65db4c87533f6354819189ab5d8	ro	grammar-or-spelling
Antrenorul Florin Ispas a trimis în teren echipa mecea.	7d260aaded8bc73a7e427ce12158a0259d731de16e292f0867b7ad31fa553846	ro	grammar-or-spelling
Acest status quo trebuie să fie schimbat!	931debd4cd1117f221d3b0425b863910a6c0de356f527657b41369ce7e9e15a8	ro	different-language
Acest status quo trebuie să fie schimbat!	931debd4cd1117f221d3b0425b863910a6c0de356f527657b41369ce7e9e15a8	ro	grammar-or-spelling
Aceste rapoarte au nevoie de o adevărat revizuire.	788125f7f84d364aee830acc1c282429009fc65db4c87533f6354819189ab5d8	ro	grammar-or-spelling
Ciò conclude il turno di votazioni.	7369f060fff4945cff7fe4028d1b3252fc7bdec2d9a647e0561a407918e2c8e6	ro	different-language
Míle buíochas do mhuintir na hÉireann.	6ad51bdf9437629adb6865ee6ae3f3f9d43c092d3c1475ae505ea8f35992c0d5	ro	different-language
Dorim ca acesta să deţină o autoritatea reală.	75fe2cdece39759f1957655ed5880239667d5add9c21d4d4a02bdf6f4723b762	ro	grammar-or-spelling
Ca să poţi înţelege pe alţii, mai întâi trebuie săte cunoşti pe tine.	73ed1539b995f70bb870a5443c33522854646bcee9fb6b2379c7f8da6772c297	ro	grammar-or-spelling
Să nu mai ai nimic în comun cu oamenii decât faptul de afi om.	5fb48534011558881d792ba0c26fdb2ae0cfce4fb2e169fd492d5a76a3d6881b	ro	grammar-or-spelling
Ca să poţi înţelege pe alţii, mai întâi trebuie săte cunoşti pe tine.	73ed1539b995f70bb870a5443c33522854646bcee9fb6b2379c7f8da6772c297	ro	grammar-or-spelling
Assad ar trebui să fie inclus sau nu?	90998fea584495b7d6bb4b20ea5b9eab5f50dabd1309a600bde3e1c7e68c3dec	ro	grammar-or-spelling
Dl comisar ar trebui să ştie acest lucru.	92e94059127a95f2a8675b53cd49fa362747fa47364b2454a6828fb026eb3b0d	ro	Prescurtare
Poate nu aveți încredere în guvernele dvs.	93858cf79171af163af869a59eab416890bfa6e11c4e2e76bfe90bf8fc02613d	ro	Prescurtare
Nous en avons terminé avec les votes.	8ac8d01740ed45084898a8e896ec2f4bdc0ceba238ed5c14860f8b57d4349e65	ro	different-language
Antrenorul Florin Ispas a trimis în teren echipa mecea.	7d260aaded8bc73a7e427ce12158a0259d731de16e292f0867b7ad31fa553846	ro	grammar-or-spelling
Fuziunea pământurilor a subliniat cea mai importantă bază agroalimentară, terra.	9ba3dbaa1fc293163d3142f8977723959a1012ad05efde711f185cb6230110ef	ro	difficult-pronounce
Fuziunea pământurilor a subliniat cea mai importantă bază agroalimentară, terra.	9ba3dbaa1fc293163d3142f8977723959a1012ad05efde711f185cb6230110ef	ro	Nonsens
Se pare că un ol important în declanșarea migrenelor îl are neuro-transmițătorul serotonină.	7c82c60cbf00af35710002366225247a5a5baf7cb1d8b07895c9785913398a3c	ro	grammar-or-spelling
Se cierra el turno de votaciones.	98be014590ad01a1fb1958d076c9db4773cb463709926d229f283f79a628564d	ro	different-language
Se cierra el turno de votaciones.	98be014590ad01a1fb1958d076c9db4773cb463709926d229f283f79a628564d	ro	different-language
Nous en avons terminé avec les votes.	8ac8d01740ed45084898a8e896ec2f4bdc0ceba238ed5c14860f8b57d4349e65	ro	different-language
Totuşi, ce este modernitatea fără democraţie?	b05d04f367906d61d2e9d92baabe4e43f38d8be13b74a29b5923bd924f3bf232	ro	grammar-or-spelling
Míle buíochas do mhuintir na hÉireann.	6ad51bdf9437629adb6865ee6ae3f3f9d43c092d3c1475ae505ea8f35992c0d5	ro	different-language
Zece ani chiar nu au fost suficienți”.	df0be458d3edf40991aac4b3dc15b0d05a33d80100f5756eb03713576c64d574	ro	grammar-or-spelling
Míle buíochas do mhuintir na hÉireann.	6ad51bdf9437629adb6865ee6ae3f3f9d43c092d3c1475ae505ea8f35992c0d5	ro	different-language
Nicolae bacalbașa, purtătorul de cuvânt al spitalului de urgență Galați.	0afa43fccab907b08f50226783189d1c65a66f55dab53764ba6e14e85559f7b8	ro	difficult-pronounce
Nicolae bacalbașa, purtătorul de cuvânt al spitalului de urgență Galați.	0afa43fccab907b08f50226783189d1c65a66f55dab53764ba6e14e85559f7b8	ro	grammar-or-spelling
Ea este legată de discriminarea bazată pe gen.	2be76b1b1e47d096dce7b25b0b0b6bd6bc21aaac53af4b847066890357f98fff	ro	Incomplet 
Taiwan poate fi considerată o poveste de succes.	1fddae1e326e6b61dafabf7f654a6baec4c2e5a0950893ea2dc669d5dc64ec14	ro	grammar-or-spelling
Sper că însuși dl comisarul va fi acolo.	23246b5ceaf1b3a1b741078cbbd957bb960c5e8a2159e0564a46d6ab1b8e5917	ro	grammar-or-spelling
Con questo si conclude il turno di votazioni.	1ff10ef2599b49fdc77ff88a9acc1c0eae28a45aa1aefc3a3f1157946b431e79	ro	different-language
Acest nu lucru nu mai poate fi acceptat.	048cec90ddd20f797232b10aa538db4daefbf23aafbc3d83604bfc73c263ed72	ro	grammar-or-spelling
Con questo si conclude il turno di votazioni.	1ff10ef2599b49fdc77ff88a9acc1c0eae28a45aa1aefc3a3f1157946b431e79	ro	different-language
Iti voi ingriji ranile.	cac793331da4a678f1acd040e54ac1705daff3c961ad1db89b611c2d038d7f5c	ro	grammar-or-spelling
Iti spun, planurile tale vor fi zadarnice.	78305268954d259a34ef77ce2c753f6b1338881a715667f5e5e1501108db8a16	ro	grammar-or-spelling
Iti voi aduce calul.	bcf9efa0b3e91cf3a6fcbafc5fe3423847c50b8d397dd38b9ff10db7c7fb5235	ro	grammar-or-spelling
Iti voi gasi cel mai urat mire pentru tine.	9ab4a3735e6d7067a7cc4a84f83047603062ee0f2c6cded562efc5a57aadffaa	ro	grammar-or-spelling
Iti voi da mai multe monede de aur.	5150c5ae355302123b89c4c04383a28d22e06f4af694aca1e36698ab6a1802df	ro	grammar-or-spelling
Jagat, nu m-am asteptat ca tu sa vi.	2e00412edafce7d797b3b7844e7ba041fedb78454b1e5851c77d73fa8e84dba0	ro	grammar-or-spelling
Iti promit, matusa.	d7403aa5863fed77c78b7b245bf41b434defcb0810af19aa9cd781716ac24bc1	ro	grammar-or-spelling
Iti multumesc ca m-ai ajutat.	ebb852f3778f9f65a0fa4398fa28e236bff0fb54232aa0c694896bff4db248d9	ro	grammar-or-spelling
Combaterea acestor cauze trebuie ă aibă prioritate.	51853e82158a2ac012562d4690cbe4966ece62ea3fd8827ad352c82f808ecbe7	ro	grammar-or-spelling
Iti voi aduce apa.	ee558b2471376796c95b6fd025643e4ef4fd35d2aeb527f1250393f260b050c1	ro	grammar-or-spelling
Iti voi aduce de mancare.	6e3979c36dff0f90efab171b47ca57bf05a7e73c54c049aae806ef82b9c224e7	ro	grammar-or-spelling
Iti voi face cu siguranta dreptate.	e60fd914369c8633080e81e0b26adaed28bc0fad1db9ad81e2230e7176218af2	ro	grammar-or-spelling
Iti voi arata eu cum.	9d3446b9d77e21cfe312c3a73153eb622dc21bb63562c77857e98fda26acd361	ro	grammar-or-spelling
Iti voi inapoia respectul pe care l-ai pierdut.	ff93bd9e017b6736738297beddf78ab9606b9d8ef237fd2acfc7ffa3fd1aaeff	ro	grammar-or-spelling
Iti voi aplica unguient pe rana ta.	e682e2eee339a9aabfac6a11e9990ff6aa7d8cc87b815d63a43ce5fac8e07e25	ro	grammar-or-spelling
Iti voi spune cum sa arunci mingea.	df13c13afff46a9c197383e8b5251da23c6b66e258c8073611d23e91e9d0f34a	ro	grammar-or-spelling
Iti respect decizia.	aea63a63f120ed3a715a3d0c35ffe33e039ce0972c5e685dc750c40cecfebadd	ro	grammar-or-spelling
Mânca pula matale	51c35b6a6da3e34439cd8e5f9cc8aacce03a8c86b675df124fb0fcea9b9ec684	ro	offensive-language
Iti promit ca nu-i voi spune.	31d6e622fe737c776289754fa7db2e94111782d58e9d3f933efa809b128dd5d2	ro	grammar-or-spelling
Iti voi gasi cel mai urat mire pentru tine.	9ab4a3735e6d7067a7cc4a84f83047603062ee0f2c6cded562efc5a57aadffaa	ro	grammar-or-spelling
Iti voi indeplini dorinta.	376b1194f3fd11030baa6a99f6b823a6f64188a9f0750bc3f5dd5ec075b357e0	ro	grammar-or-spelling
Iti voi fi recunoscatoare mereu.	8158048c29ef39d6d9e806d8ef84f717b45f3a86209f0a3807527071e3c1b1ab	ro	grammar-or-spelling
Iti voi face un masaj.	0ed19cbd0222c23254b2ffa09c5c371665ab110a16804f3688be6e369ad34a01	ro	grammar-or-spelling
Iti reamintim ca nu vom prelungi timpul.	83dbe0364af88153aa25e320fe6439f5cf5317ec7b8983a50e7e02b68de9b742	ro	grammar-or-spelling
Iti voi aduce calul.	bcf9efa0b3e91cf3a6fcbafc5fe3423847c50b8d397dd38b9ff10db7c7fb5235	ro	grammar-or-spelling
Iti multumesc ca m-ai ajutat.	ebb852f3778f9f65a0fa4398fa28e236bff0fb54232aa0c694896bff4db248d9	ro	grammar-or-spelling
Iti spun adevarul.	701dc81a34ea449d024f86b1af058608c5169cdc5260eda093453c3c37ff5460	ro	grammar-or-spelling
Iti voi indeplini dorinta.	376b1194f3fd11030baa6a99f6b823a6f64188a9f0750bc3f5dd5ec075b357e0	ro	grammar-or-spelling
Iti voi explica.	788aca31bd11f1bfd251952fc8c5b4bf7b89b669afba496d3506cb28e94b0519	ro	grammar-or-spelling
După ceştii totul, vine îndoiala.	63bdb6fe96b2de79fdb9a53233bab9ffe3d6ab102dac26b40909816fd12abb89	ro	grammar-or-spelling
Combaterea acestor cauze trebuie ă aibă prioritate.	51853e82158a2ac012562d4690cbe4966ece62ea3fd8827ad352c82f808ecbe7	ro	grammar-or-spelling
We now continue with the vote.	609803d8a2936a4676a71c3f7ae31490a34695a1373024f74330382c18280f29	ro	different-language
Iti voi face aceasta favoare.	f5cd6c22789be198dcad64c207236143791d58d23e27a3a60d21da1f34e9724d	ro	grammar-or-spelling
Iti voi spune cum sa arunci mingea.	df13c13afff46a9c197383e8b5251da23c6b66e258c8073611d23e91e9d0f34a	ro	grammar-or-spelling
Dreptatea eca sănătatea lumii.	62f5c5ffe00158534a6561aad0c02504991b2ef1825b160ce0376e1c2f4dda32	ro	grammar-or-spelling
Iti promit ca vei primi dreptate.	c0481bef8b0c8c2198941f9f7a384ccea3abfe6cd5b68c1834daaf90d40d8603	ro	grammar-or-spelling
Dreptatea eca sănătatea lumii.	62f5c5ffe00158534a6561aad0c02504991b2ef1825b160ce0376e1c2f4dda32	ro	grammar-or-spelling
Iti va fi luat si el.	580cabd02fb9f12078b162283a2c2660c622c9edaa5ab59e32b8d256889af104	ro	grammar-or-spelling
We now continue with the vote.	609803d8a2936a4676a71c3f7ae31490a34695a1373024f74330382c18280f29	ro	different-language
Cu siguranţă nu este o soluţie rezonabilă.	6b542aa9068e6a60a06ccc3ba97f110bd5e34ff4a5f7104c4aba669d264213d8	ro	grammar-or-spelling
Mânca pula matale	51c35b6a6da3e34439cd8e5f9cc8aacce03a8c86b675df124fb0fcea9b9ec684	ro	offensive-language
Preoţii şi ritualurile sunt doar cârje pentru viaţa infirmăa sufletului.	6af8c23108c348f67cf6b35e8b1cd1d5b3448283efd72f1829c05bdf8473dba1	ro	grammar-or-spelling
Iti voi aplica unguient pe rana ta.	e682e2eee339a9aabfac6a11e9990ff6aa7d8cc87b815d63a43ce5fac8e07e25	ro	grammar-or-spelling
Primul are legătura cu activitățile mele anterioare.	61708fd1fca8fc50d4468dba8421dc5cad07850657cd130a6bcae87b3ed1f728	ro	grammar-or-spelling
Iti voi gasi mireasa intr-o zi.	9d3b3eb657a1c53209c45ba709e9c7853284ada3ea7af7a12183a880f2a3e9c6	ro	grammar-or-spelling
Iti spun, planurile tale vor fi zadarnice.	78305268954d259a34ef77ce2c753f6b1338881a715667f5e5e1501108db8a16	ro	grammar-or-spelling
Iti inteleg ingrijorarea.	91f82514edb138ef691c31ad1fd07a83a22c0b210cd81bb81e5776168258e5e1	ro	grammar-or-spelling
Iti promit, nu am sa las sa se intimple nimic cu fiul tau.	4613a36c162eb2bcc5027ba37bf8da72b02e2a5351f8bc4439088d05e6fe8383	ro	grammar-or-spelling
Iti poruncesc sa bei niste apa.	85c34d95586b18fb11e401bbd9f9a49be3205496414f82d96af3ed25ba653783	ro	grammar-or-spelling
Prima clădire a ansambului arhitectural datează de la începutul secolului optsprezece.	55275f26e9ee68e20690f81e67aff3728acfdc302e028d077c4ba44d64b350d8	ro	grammar-or-spelling
